row_id,entity,entity_scope,segment,material,chain_stage,metric,basis,period,period_granularity,period_end_date,value_reported,scale_factor,value_base,unit,currency,price_basis,derivation,derived_from,is_comparative,doc_type,source_document,pdf_page,printed_page,raw_text,language,confidence,notes
GT11,MP Materials,segment,Materials,NdPr,oxide,production_volume,gross_weight,FY2025,FY,2025-12-31,2599.0,1,2599.0,tonnes,none,not_applicable,as_reported,,FALSE,annual,mp-materials_10k_FY2025.pdf,53,49,"2,599",en,high,"Per p.43 this is finished, packaged NdPr OXIDE actually produced - physical tonnes of product, hence gross_weight. NOT the same basis as NdPr Sales Volume (GT12, oxide-equivalent). Production not sales."
GT12,MP Materials,segment,Materials,NdPr,oxide,sales_volume,oxide_equivalent,FY2025,FY,2025-12-31,1994.0,1,1994.0,tonnes,none,not_applicable,as_reported,,FALSE,annual,mp-materials_10k_FY2025.pdf,53,49,"1,994",en,low,"Oxide-equivalent: metal sales converted at an ASSUMED 1.20 ratio (100 MT metal = 120 MT here), so partly a modelling assumption. From Q4 2025 includes intercompany sales to Magnetics (p.43)."
GT13,MP Materials,segment,Materials,NdPr,oxide,sales_volume,oxide_equivalent,FY2023,FY,2023-12-31,10.0,1,10.0,tonnes,none,not_applicable,as_reported,,TRUE,annual,mp-materials_10k_FY2025.pdf,53,49,10,en,low,Comparative. Real figure but separation was only starting up. Any price derived from it (GT10/GT13) is meaningless as a market signal.
GT14,MP Materials,segment,Magnetics,NdPr,metal,revenue,not_applicable,FY2025,FY,2025-12-31,66861.0,1000,66861000.0,USD,USD,not_applicable,as_reported,,FALSE,annual,mp-materials_10k_FY2025.pdf,48,44,"66,861",en,high,"MAGNETICS segment. NdPr metal from the Independence Facility sold to GM. No volume disclosed -> no implied price derivable. Recognised under a bill-and-hold arrangement (Note 16, printed p.96): GM owns it, MP still holds it."
GT15,MP Materials,consolidated,,NdPr,oxide,intersegment_elimination,not_applicable,FY2025,FY,2025-12-31,-2789.0,1000,-2789000.0,USD,USD,not_applicable,as_reported,,FALSE,annual,mp-materials_10k_FY2025.pdf,48,44,"(2,789)",en,high,Negative: printed in parentheses. Footnote: elimination of NdPr oxide sold by Materials to Magnetics. Exists only at consolidated level. New metric added to lists.
GT16,MP Materials,consolidated,,not_applicable,not_applicable,revenue,not_applicable,FY2025,FY,2025-12-31,224441.0,1000,224441000.0,USD,USD,not_applicable,as_reported,,FALSE,annual,mp-materials_10k_FY2025.pdf,48,44,"$ 224,441",en,high,"CONSOLIDATED total across all products. Pair against GT17. Bridge: 160,369 + 66,861 - 2,789 = 224,441 (ties exactly). Never divide by a segment volume."
GT17,MP Materials,segment,Materials,not_applicable,not_applicable,revenue,not_applicable,FY2025,FY,2025-12-31,160369.0,1000,160369000.0,USD,USD,not_applicable,as_reported,,FALSE,annual,mp-materials_10k_FY2025.pdf,100,96,"160,369",en,high,"Materials SEGMENT total, from Note 16 Revenue Recognition (printed p.96; project notes wrongly call this the segment note). Also on printed p.49. USD 64m below GT16: pairing segment volume with GT16 overstates price ~40%."
GT18,MP Materials,site,,NdPr,concentrate,composition_pct,contained_REO,not_applicable,,,15.7,1,15.7,percent,none,not_applicable,as_reported,,FALSE,annual,mp-materials_10k_FY2025.pdf,33,29,15.7 %,en,high,"Convention: stored as percentage points (15.7, not 0.157). Estimated share of TREO content in Mountain Pass concentrate; 'natural distribution', stable over time. Same figure recurs on printed pp.32 and 34 inside reserve assumptions - cite the table on p.29."
GT19,MP Materials,site,,Ce,concentrate,composition_pct,contained_REO,not_applicable,,,50.2,1,50.2,percent,none,not_applicable,as_reported,,FALSE,annual,mp-materials_10k_FY2025.pdf,33,29,50.2 %,en,high,"Half the REO is near-worthless cerium - the reason basket prices (GT07/GT08) mislead. Percentage points, as GT18."
GT20,MP Materials,segment,Materials,NdPr,oxide,non_revenue_income,not_applicable,FY2025,FY,2025-12-31,51016.0,1000,51016000.0,USD,USD,not_applicable,as_reported,,FALSE,annual,mp-materials_10k_FY2025.pdf,53,49,"$ 51,016",en,high,"Price Protection Agreement income, booked OUTSIDE revenue. PPA ($110/kg NdPr floor from 1 Oct 2025) pays on NdPr products sold OR produced and stockpiled - a different volume base from GT12, so do not add it to GT09 and divide. New metric added to lists."
